		Formal non-polite(해라체)	Informal non-polite(해체)	Informal polite(해요체)	Formal polite(하십시오체)
Indicative	Non-past	아니꼽다	아니꼬워	아니꼬워요	아니꼽습니다
Indicative	Past	아니꼬웠다	아니꼬웠어	아니꼬웠어요	아니꼬웠습니다
Interrogative	Non-past	아니꼬우냐	아니꼬워	아니꼬워요	아니꼽습니까
Interrogative	Past	아니꼬웠냐	아니꼬웠어	아니꼬웠어요	아니꼬웠습니까
Assertive	Assertive	아니꼽겠다	아니꼽겠어	아니꼽겠어요	아니꼽겠습니다
					
Cause/Reason	Cause/Reason	아니꼬워	아니꼬워서	아니꼬우니	아니꼬우니까
Contrast	Contrast	아니꼽지만	아니꼬운데	아니꼽더니	
Conjunction	Conjunction	아니꼽고			
Condition	Condition	아니꼬우면	아니꼬워야		
					
Verbal nouns	Verbal nouns	아니꼬움	아니꼽기		
Past-tense verbal nouns	Past-tense verbal nouns	아니꼬웠음	아니꼬웠기		
Determiners	Present		아니꼬운		
Determiners	Future		아니꼬울		
					
		Plain (해라체)	Informal (해체)	Polite (해요체)	Formal (하십시오체)
Indicative	Non-past	아니꼬우시다	아니꼬우셔	아니꼬우세요아니꼬우셔요	아니꼬우십니다
Indicative	Past	아니꼬우셨다	아니꼬우셨어	아니꼬우셨어요	아니꼬우셨습니다
Interrogative	Non-past	아니꼬우시냐	아니꼬우셔	아니꼬우세요아니꼬우셔요	아니꼬우십니까
Interrogative	Past	아니꼬우셨냐	아니꼬우셨어	아니꼬우셨어요	아니꼬우셨습니까
Assertive	Assertive	아니꼬우시겠다	아니꼬우시겠어	아니꼬우시겠어요	아니꼬우시겠습니다
					
Cause/Reason	Cause/Reason	아니꼬우셔	아니꼬우셔서	아니꼬우시니	아니꼬우시니까
Contrast	Contrast	아니꼬우시지만	아니꼬우신데	아니꼬우시더니	
Conjunction	Conjunction	아니꼬우시고			
Condition	Condition	아니꼬우시면	아니꼬우셔야		
					
Verbal nouns	Verbal nouns	아니꼬우심	아니꼬우시기		
Past-tense verbal nouns	Past-tense verbal nouns	아니꼬우셨음	아니꼬우셨기		
Determiners	Present		아니꼬우신		
Determiners	Future		아니꼬우실		
